,BandGap(eV),Intensity(mW/cm2),pH,Electrolyte Molarity (M), RHE bias (V vs RHE),jph,PhotocurrentDensity(mA/cm2)
0,2.11,300,13.6,1,0.8,0.006749291,0.000674929
1,2.11,300,13.6,1,0.805,0.00738655,0.000738655
2,2.11,300,13.6,1,0.81,0.008078843,0.000807884
3,2.11,300,13.6,1,0.815,0.008830826,0.000883083
4,2.11,300,13.6,1,0.82,0.009647536,0.000964754
5,2.11,300,13.6,1,0.825,0.010534424,0.001053442
6,2.11,300,13.6,1,0.83,0.011497388,0.001149739
7,2.11,300,13.6,1,0.835,0.012542812,0.001254281
8,2.11,300,13.6,1,0.84,0.013677599,0.00136776
9,2.11,300,13.6,1,0.845,0.01490922,0.001490922
10,2.11,300,13.6,1,0.85,0.016245757,0.001624576
11,2.11,300,13.6,1,0.855,0.017695948,0.001769595
12,2.11,300,13.6,1,0.86,0.019269249,0.001926925
13,2.11,300,13.6,1,0.865,0.020975881,0.002097588
14,2.11,300,13.6,1,0.87,0.0228269,0.00228269
15,2.11,300,13.6,1,0.875,0.024834257,0.002483426
16,2.11,300,13.6,1,0.88,0.027010871,0.002701087
17,2.11,300,13.6,1,0.885,0.02937071,0.002937071
18,2.11,300,13.6,1,0.89,0.031928866,0.003192887
19,2.11,300,13.6,1,0.895,0.034701649,0.003470165
20,2.11,300,13.6,1,0.9,0.037706681,0.003770668
21,2.11,300,13.6,1,0.905,0.040962997,0.0040963
22,2.11,300,13.6,1,0.91,0.044491157,0.004449116
23,2.11,300,13.6,1,0.915,0.048313364,0.004831336
24,2.11,300,13.6,1,0.92,0.052453588,0.005245359
25,2.11,300,13.6,1,0.925,0.056937704,0.00569377
26,2.11,300,13.6,1,0.93,0.061793638,0.006179364
27,2.11,300,13.6,1,0.935,0.067051519,0.006705152
28,2.11,300,13.6,1,0.94,0.072743849,0.007274385
29,2.11,300,13.6,1,0.945,0.078905679,0.007890568
30,2.11,300,13.6,1,0.95,0.085574797,0.00855748
31,2.11,300,13.6,1,0.955,0.092791933,0.009279193
32,2.11,300,13.6,1,0.96,0.100600971,0.010060097
33,2.11,300,13.6,1,0.965,0.10904918,0.010904918
34,2.11,300,13.6,1,0.97,0.118187455,0.011818746
35,2.11,300,13.6,1,0.975,0.128070575,0.012807058
36,2.11,300,13.6,1,0.98,0.138757475,0.013875747
37,2.11,300,13.6,1,0.985,0.150311531,0.015031153
38,2.11,300,13.6,1,0.99,0.162800867,0.016280087
39,2.11,300,13.6,1,0.995,0.176298669,0.017629867
40,2.11,300,13.6,1,1,0.19088352,0.019088352
41,2.11,300,13.6,1,1.005,0.206639747,0.020663975
42,2.11,300,13.6,1,1.01,0.223657785,0.022365778
43,2.11,300,13.6,1,1.015,0.242034552,0.024203455
44,2.11,300,13.6,1,1.02,0.261873837,0.026187384
45,2.11,300,13.6,1,1.025,0.283286701,0.02832867
46,2.11,300,13.6,1,1.03,0.306391881,0.030639188
47,2.11,300,13.6,1,1.035,0.331316207,0.033131621
48,2.11,300,13.6,1,1.04,0.358195014,0.035819501
49,2.11,300,13.6,1,1.045,0.387172562,0.038717256
50,2.11,300,13.6,1,1.05,0.418402438,0.041840244
51,2.11,300,13.6,1,1.055,0.452047961,0.045204796
52,2.11,300,13.6,1,1.06,0.488282552,0.048828255
53,2.11,300,13.6,1,1.065,0.527290092,0.052729009
54,2.11,300,13.6,1,1.07,0.569265235,0.056926524
55,2.11,300,13.6,1,1.075,0.614413684,0.061441368
56,2.11,300,13.6,1,1.08,0.662952398,0.06629524
57,2.11,300,13.6,1,1.085,0.71510974,0.071510974
58,2.11,300,13.6,1,1.09,0.771125531,0.077112553
59,2.11,300,13.6,1,1.095,0.831251008,0.083125101
60,2.11,300,13.6,1,1.1,0.895748656,0.089574866
61,2.11,300,13.6,1,1.105,0.964891903,0.09648919
62,2.11,300,13.6,1,1.11,1.038964654,0.103896465
63,2.11,300,13.6,1,1.115,1.118260641,0.111826064
64,2.11,300,13.6,1,1.12,1.203082565,0.120308256
65,2.11,300,13.6,1,1.125,1.293741007,0.129374101
66,2.11,300,13.6,1,1.13,1.390553086,0.139055309
67,2.11,300,13.6,1,1.135,1.493840834,0.149384083
68,2.11,300,13.6,1,1.14,1.603929272,0.160392927
69,2.11,300,13.6,1,1.145,1.721144162,0.172114416
70,2.11,300,13.6,1,1.15,1.845809425,0.184580943
71,2.11,300,13.6,1,1.155,1.978244201,0.19782442
72,2.11,300,13.6,1,1.16,2.118759557,0.211875956
73,2.11,300,13.6,1,1.165,2.267654839,0.226765484
74,2.11,300,13.6,1,1.17,2.425213672,0.242521367
75,2.11,300,13.6,1,1.175,2.591699645,0.259169964
76,2.11,300,13.6,1,1.18,2.767351698,0.27673517
77,2.11,300,13.6,1,1.185,2.952379264,0.295237926
78,2.11,300,13.6,1,1.19,3.146957234,0.314695723
79,2.11,300,13.6,1,1.195,3.351220812,0.335122081
80,2.11,300,13.6,1,1.2,3.565260356,0.356526036
81,2.11,300,13.6,1,1.205,3.789116315,0.378911631
82,2.11,300,13.6,1,1.21,4.022774383,0.402277438
83,2.11,300,13.6,1,1.215,4.266160999,0.4266161
84,2.11,300,13.6,1,1.22,4.519139335,0.451913933
85,2.11,300,13.6,1,1.225,4.781505921,0.478150592
86,2.11,300,13.6,1,1.23,5.052988046,0.505298805
87,2.11,300,13.6,1,1.235,5.333242074,0.533324207
88,2.11,300,13.6,1,1.24,5.621852802,0.56218528
89,2.11,300,13.6,1,1.245,5.918333962,0.591833396
90,2.11,300,13.6,1,1.25,6.22212994,0.622212994
91,2.11,300,13.6,1,1.255,6.53261878,0.653261878
92,2.11,300,13.6,1,1.26,6.849116448,0.684911645
93,2.11,300,13.6,1,1.265,7.170882365,0.717088236
94,2.11,300,13.6,1,1.27,7.497126108,0.749712611
95,2.11,300,13.6,1,1.275,7.827015177,0.782701518
96,2.11,300,13.6,1,1.28,8.159683678,0.815968368
97,2.11,300,13.6,1,1.285,8.494241729,0.849424173
98,2.11,300,13.6,1,1.29,8.82978538,0.882978538
99,2.11,300,13.6,1,1.295,9.165406806,0.916540681
100,2.11,300,13.6,1,1.3,9.500204544,0.950020454
101,2.11,300,13.6,1,1.305,9.833293502,0.98332935
102,2.11,300,13.6,1,1.31,10.16381455,1.016381455
103,2.11,300,13.6,1,1.315,10.49094341,1.049094341
104,2.11,300,13.6,1,1.32,10.81389877,1.081389877
105,2.11,300,13.6,1,1.325,11.13194929,1.113194929
106,2.11,300,13.6,1,1.33,11.44441962,1.144441962
107,2.11,300,13.6,1,1.335,11.75069509,1.175069509
108,2.11,300,13.6,1,1.34,12.0502253,1.20502253
109,2.11,300,13.6,1,1.345,12.34252636,1.234252636
110,2.11,300,13.6,1,1.35,12.62718204,1.262718204
111,2.11,300,13.6,1,1.355,12.90384377,1.290384377
112,2.11,300,13.6,1,1.36,13.17222959,1.317222959
113,2.11,300,13.6,1,1.365,13.43212222,1.343212222
114,2.11,300,13.6,1,1.37,13.68336638,1.368336638
115,2.11,300,13.6,1,1.375,13.92586535,1.392586535
116,2.11,300,13.6,1,1.38,14.15957717,1.415957717
117,2.11,300,13.6,1,1.385,14.38451032,1.438451032
118,2.11,300,13.6,1,1.39,14.60071923,1.460071923
119,2.11,300,13.6,1,1.395,14.80829964,1.480829964
120,2.11,300,13.6,1,1.4,15.00738386,1.500738386
121,2.11,300,13.6,1,1.405,15.19813615,1.519813615
122,2.11,300,13.6,1,1.41,15.38074822,1.538074822
123,2.11,300,13.6,1,1.415,15.55543487,1.555543487
124,2.11,300,13.6,1,1.42,15.72242989,1.572242989
125,2.11,300,13.6,1,1.425,15.88198225,1.588198225
126,2.11,300,13.6,1,1.43,16.03435259,1.603435259
127,2.11,300,13.6,1,1.435,16.17980993,1.617980993
128,2.11,300,13.6,1,1.44,16.31862884,1.631862884
129,2.11,300,13.6,1,1.445,16.45108678,1.645108678
130,2.11,300,13.6,1,1.45,16.57746185,1.657746185
131,2.11,300,13.6,1,1.455,16.69803076,1.669803076
132,2.11,300,13.6,1,1.46,16.81306714,1.681306714
133,2.11,300,13.6,1,1.465,16.92284003,1.692284003
134,2.11,300,13.6,1,1.47,17.0276127,1.70276127
135,2.11,300,13.6,1,1.475,17.12764161,1.712764161
136,2.11,300,13.6,1,1.48,17.2231756,1.72231756
137,2.11,300,13.6,1,1.485,17.31445531,1.731445531
138,2.11,300,13.6,1,1.49,17.40171262,1.740171262
139,2.11,300,13.6,1,1.495,17.4851704,1.74851704
140,2.11,300,13.6,1,1.5,17.56504225,1.756504225
141,2.11,300,13.6,1,1.505,17.6415324,1.76415324
142,2.11,300,13.6,1,1.51,17.7148357,1.77148357
143,2.11,300,13.6,1,1.515,17.78513768,1.778513768
144,2.11,300,13.6,1,1.52,17.85261466,1.785261466
145,2.11,300,13.6,1,1.525,17.91743394,1.791743394
146,2.11,300,13.6,1,1.53,17.97975401,1.797975401
147,2.11,300,13.6,1,1.535,18.03972482,1.803972482
148,2.11,300,13.6,1,1.54,18.09748802,1.809748802
149,2.11,300,13.6,1,1.545,18.15317731,1.815317731
150,2.11,300,13.6,1,1.55,18.2069187,1.82069187
151,2.11,300,13.6,1,1.555,18.25883087,1.825883087
152,2.11,300,13.6,1,1.56,18.30902547,1.830902547
153,2.11,300,13.6,1,1.565,18.35760747,1.835760747
154,2.11,300,13.6,1,1.57,18.40467548,1.840467548
155,2.11,300,13.6,1,1.575,18.45032203,1.845032203
156,2.11,300,13.6,1,1.58,18.49463396,1.849463396
157,2.11,300,13.6,1,1.585,18.53769265,1.853769265
158,2.11,300,13.6,1,1.59,18.57957439,1.857957439
159,2.11,300,13.6,1,1.595,18.62035059,1.862035059
160,2.11,300,13.6,1,1.6,18.66008813,1.866008813
161,2.11,300,13.6,1,1.605,18.69884958,1.869884958
162,2.11,300,13.6,1,1.61,18.73669347,1.873669347
163,2.11,300,13.6,1,1.615,18.77367453,1.877367453
164,2.11,300,13.6,1,1.62,18.80984393,1.880984393
165,2.11,300,13.6,1,1.625,18.84524948,1.884524948
166,2.11,300,13.6,1,1.63,18.87993586,1.887993586
167,2.11,300,13.6,1,1.635,18.9139448,1.89139448
168,2.11,300,13.6,1,1.64,18.94731529,1.894731529
169,2.11,300,13.6,1,1.645,18.98008373,1.898008373
170,2.11,300,13.6,1,1.65,19.01228411,1.901228411
171,2.11,300,13.6,1,1.655,19.04394816,1.904394816
172,2.11,300,13.6,1,1.66,19.07510552,1.907510552
173,2.11,300,13.6,1,1.665,19.10578383,1.910578383
174,2.11,300,13.6,1,1.67,19.13600892,1.913600892
175,2.11,300,13.6,1,1.675,19.16580488,1.916580488
176,2.11,300,13.6,1,1.68,19.19519421,1.919519421
177,2.11,300,13.6,1,1.685,19.22419791,1.922419791
178,2.11,300,13.6,1,1.69,19.25283557,1.925283557
179,2.11,300,13.6,1,1.695,19.28112552,1.928112552
180,2.11,300,13.6,1,1.7,19.30908482,1.930908482
181,2.11,300,13.6,1,1.705,19.33672944,1.933672944
182,2.11,300,13.6,1,1.71,19.36407428,1.936407428
183,2.11,300,13.6,1,1.715,19.39113326,1.939113326
184,2.11,300,13.6,1,1.72,19.41791938,1.941791938
185,2.11,300,13.6,1,1.725,19.44444478,1.944444478
186,2.11,300,13.6,1,1.73,19.47072083,1.947072083
187,2.11,300,13.6,1,1.735,19.49675813,1.949675813
188,2.11,300,13.6,1,1.74,19.52256661,1.952256661
189,2.11,300,13.6,1,1.745,19.54815555,1.954815555
190,2.11,300,13.6,1,1.75,19.57353362,1.957353362
191,2.11,300,13.6,1,1.755,19.59870896,1.959870896
192,2.11,300,13.6,1,1.76,19.62368916,1.962368916
193,2.11,300,13.6,1,1.765,19.64848134,1.964848134
194,2.11,300,13.6,1,1.77,19.67309219,1.967309219
195,2.11,300,13.6,1,1.775,19.69752794,1.969752794
196,2.11,300,13.6,1,1.78,19.72179446,1.972179446
197,2.11,300,13.6,1,1.785,19.74589725,1.974589725
198,2.11,300,13.6,1,1.79,19.76984147,1.976984147
199,2.11,300,13.6,1,1.795,19.79363196,1.979363196
200,2.11,300,13.6,1,1.8,19.81727326,1.981727326
201,2.11,300,13.6,1,1.805,19.84076966,1.984076966
202,2.11,300,13.6,1,1.81,19.86412518,1.986412518
203,2.11,300,13.6,1,1.815,19.88734359,1.988734359
204,2.11,300,13.6,1,1.82,19.91042847,1.991042847
205,2.11,300,13.6,1,1.825,19.93338317,1.993338317
206,2.11,300,13.6,1,1.83,19.95621085,1.995621085
207,2.11,300,13.6,1,1.835,19.9789145,1.99789145
208,2.11,300,13.6,1,1.84,20.00149694,2.000149694
209,2.11,300,13.6,1,1.845,20.02396083,2.002396083
210,2.11,300,13.6,1,1.85,20.0463087,2.00463087
211,2.11,300,13.6,1,1.855,20.06854291,2.006854291
212,2.11,300,13.6,1,1.86,20.09066573,2.009066573
213,2.11,300,13.6,1,1.865,20.11267931,2.011267931
214,2.11,300,13.6,1,1.87,20.13458566,2.013458566
215,2.11,300,13.6,1,1.875,20.15638672,2.015638672
216,2.11,300,13.6,1,1.88,20.17808432,2.017808432
217,2.11,300,13.6,1,1.885,20.1996802,2.01996802
218,2.11,300,13.6,1,1.89,20.22117603,2.022117603
219,2.11,300,13.6,1,1.895,20.24257337,2.024257337
220,2.11,300,13.6,1,1.9,20.26387374,2.026387374
221,2.11,300,13.6,1,1.905,20.28507859,2.028507859
222,2.11,300,13.6,1,1.91,20.30618928,2.030618928
223,2.11,300,13.6,1,1.915,20.32720714,2.032720714
224,2.11,300,13.6,1,1.92,20.34813343,2.034813343
225,2.11,300,13.6,1,1.925,20.36896935,2.036896935
226,2.11,300,13.6,1,1.93,20.38971608,2.038971608
227,2.11,300,13.6,1,1.935,20.41037471,2.041037471
228,2.11,300,13.6,1,1.94,20.43094634,2.043094634
229,2.11,300,13.6,1,1.945,20.45143198,2.045143198
230,2.11,300,13.6,1,1.95,20.47183263,2.047183263
231,2.11,300,13.6,1,1.955,20.49214926,2.049214926
232,2.11,300,13.6,1,1.96,20.51238279,2.051238279
233,2.11,300,13.6,1,1.965,20.53253411,2.053253411
234,2.11,300,13.6,1,1.97,20.55260409,2.055260409
235,2.11,300,13.6,1,1.975,20.57259357,2.057259357
236,2.11,300,13.6,1,1.98,20.59250335,2.059250335
237,2.11,300,13.6,1,1.985,20.61233424,2.061233424
238,2.11,300,13.6,1,1.99,20.63208698,2.063208698
239,2.11,300,13.6,1,1.995,20.65176233,2.065176233
